id,zipcode,floors,housetype,garage,lotarea,livingarea,Nbathroom,yearbuilt,yrremodeled,yearsale,monthsale,price
59,27133,3,Detached,276,3315,4313,3,1987,,1995,1,1048500
60,27133,1,Bungalow,,1330,977,1,1966,1984,2003,6,155500
61,27131,2,Cottage,,950,1053,2,1984,,1997,4,228000
62,27119,1,Bungalow,241,2609,1244,1,1960,,2001,12,280000
63,27119,2,Detached,,1340,1362,2,1985,,1995,9,333000
64,27134,2,Ranch,,711,1074,2,1966,,2004,9,113000
65,27119,2,Cottage,282,1988,2719,3,1981,,2004,5,552000
66,27119,2,Detached,227,2040,2814,2,1985,,1995,5,629500
67,27131,3,Detached,,2060,3701,3,1969,,2002,4,627500
68,27119,2,Farm,,784,1116,2,1967,,1995,8,179500
69,27137,2,Cottage,,998,1235,3,1971,1985,2004,3,237000
70,27119,2,Detached,333,2332,2987,2,1969,,2002,4,512500
71,27133,2,Ranch,,1096,1442,2,1979,,2003,3,201500
72,27115,2,Ranch,295,3048,3009,2,1970,,2004,8,732500
73,27134,1,Bungalow,,1069,779,1,1965,,1995,7,118500
74,27131,2,Detached,,1611,1840,3,1962,1983,1996,9,345500
75,27131,3,Town,268,2342,3448,3,1984,,2004,11,734000
76,27115,3,Detached,297,1982,3355,3,1986,,1999,10,900500
77,27134,1,Bungalow,,1004,649,1,1977,,2001,9,107000
78,27119,3,Detached,219,2261,3076,3,1977,,2002,2,558000
79,27131,2,Detached,296,1956,2657,2,1984,,1998,2,574500
80,27127,2,Detached,,1210,1887,2,1980,,2003,11,225000
81,27133,2,Cottage,,1088,1460,2,1975,,1999,10,179500
82,27133,2,Town,,933,1131,1,1983,,1997,7,242500
83,27121,3,Detached,,1999,3160,3,1983,,2001,9,798500
84,27137,3,Detached,191,1595,3340,3,1969,1989,2003,5,609000
85,27121,3,Town,367,2801,4253,3,1986,,2002,7,1065500
86,27131,2,Cottage,198,2385,2276,1,1989,,1997,7,552500
87,27134,1,Bungalow,,1629,1076,1,1966,,2001,8,139000
88,27127,1,Bungalow,,1493,1110,1,1973,1986,1998,8,161500
89,27134,3,Town,199,2492,4036,3,1980,,1996,3,695500
90,27131,3,Detached,,1352,2021,3,1976,,1999,3,353500
91,27115,2,Town,331,2434,2048,1,1980,,1995,1,570000
92,27119,2,Detached,,780,1031,3,1971,,1998,3,171000
93,27137,2,Farm,,2443,2693,1,1976,,2001,12,518500
94,27115,3,Cottage,284,3926,4970,3,1980,,1995,8,1168500
95,27127,1,Bungalow,,819,563,1,1974,,2004,2,82000
96,27134,2,Cottage,,937,1405,2,1979,,2002,3,185000
97,27127,2,Cottage,,1216,1777,2,1964,,2003,1,183500
98,27127,2,Cottage,,1024,1432,1,1966,,1996,8,134500
99,27119,2,Farm,,2030,2059,3,1962,,2000,1,340000
100,27127,1,Bungalow,,1474,1128,1,1977,,2000,4,156500
101,27121,2,Detached,,1091,1087,2,1982,,1995,9,295500
102,27133,2,Cottage,,1151,1591,2,1989,,2003,10,246500
103,27137,2,Farm,314,3110,2832,2,1967,1984,2000,11,594000
104,27121,2,Detached,,1013,1141,1,1967,,2004,3,215500
105,27137,2,Detached,286,2903,2728,3,1978,,2002,5,565000
106,27119,2,Town,,1502,1677,2,1966,1979,2000,12,290000
107,27131,2,Detached,,1472,1514,2,1983,,2004,10,352000
108,27133,2,Cottage,,792,1261,2,1986,,1997,11,290000
109,27131,2,Town,209,1692,1947,1,1966,,2000,6,342500
110,27133,2,Farm,,1221,1618,2,1980,,2002,4,226500
111,27115,3,Detached,209,2176,2869,3,1989,,1999,3,871000
112,27137,1,Bungalow,232,2003,1044,1,1969,,1996,7,239500
113,27133,1,Bungalow,,982,644,1,1966,1981,2003,2,94500
114,27119,1,Bungalow,,708,533,1,1968,1987,2002,1,123000
115,27115,3,Detached,307,2784,3998,3,1982,,1999,8,934500
116,27133,1,Bungalow,337,2657,1340,1,1971,,1998,1,315500
117,27115,3,Detached,302,1815,2779,3,1972,1988,2002,9,681500
118,27133,1,Bungalow,,1222,824,1,1964,1982,2004,8,126000
119,27133,1,Bungalow,,2722,1329,1,1979,,1998,7,408000
120,27115,3,Detached,500,3725,4720,3,1988,,1996,12,1462500
121,27137,1,Bungalow,,1096,759,1,1980,,1998,1,179000
122,27115,3,Detached,,1442,2796,3,1964,,2004,2,553000
123,27137,2,Detached,,1903,2586,2,1964,1978,2000,11,458500
124,27121,1,Bungalow,424,3367,1504,1,1972,1985,1999,12,465500
125,27134,2,Detached,,1373,1712,2,1980,,1998,2,304500
126,27127,2,Cottage,,965,1560,2,1964,,1998,9,150500
127,27115,2,Detached,340,3489,3128,3,1986,,1995,4,955500
128,27134,2,Ranch,,1619,2180,2,1988,,2000,9,336000
129,27127,2,Farm,,674,1150,2,1962,1981,2000,8,114000
130,27119,1,Bungalow,,1029,592,1,1967,1981,2001,10,135000
131,27137,1,Bungalow,,1241,976,1,1970,,2002,3,194000
132,27133,2,Cottage,,659,1066,2,1975,,2004,4,137000
133,27127,2,Cottage,,1071,1737,2,1979,,2001,11,208000
134,27115,3,Detached,500,3658,5119,3,1985,,1996,10,1303000
135,27115,3,Detached,,1795,2241,3,1962,,2001,6,457500
136,27133,2,Cottage,,1488,2104,2,1960,1979,2004,12,258000
137,27134,2,Farm,,2478,2789,3,1967,1981,1999,2,453500
138,27115,3,Ranch,272,2259,4396,3,1978,,2000,9,959000
139,27131,2,Detached,,1306,1289,2,1966,,2004,10,231500
140,27134,1,Bungalow,,1987,1284,1,1971,1984,1997,4,255000
141,27134,2,Cottage,,940,1271,2,1960,,2000,11,122500
142,27127,1,Bungalow,,910,675,1,1975,,2001,8,90500
143,27137,2,Detached,,1704,1871,2,1989,,1998,3,477500
144,27137,2,Detached,,906,1333,2,1966,,2000,11,208500
145,27133,3,Town,,1057,2238,3,1988,,1998,5,495500
146,27134,2,Cottage,,1219,1996,1,1978,,1998,2,326000
147,27119,1,Bungalow,,1917,986,1,1970,,1997,10,239000
148,27131,1,Bungalow,,961,640,1,1960,1974,2003,3,138500
149,27137,2,Town,,1328,1681,3,1960,1984,1996,2,293500
150,27134,2,Farm,,680,1082,2,1960,1986,2000,9,123500
151,27127,2,Farm,,1365,2249,1,1967,1984,1997,7,234500
152,27137,2,Detached,215,1666,2313,2,1960,1981,1997,3,395500
153,27115,1,Bungalow,217,2513,914,1,1975,,2002,6,361000
154,27119,2,Detached,,947,1498,2,1962,1983,1997,7,248000
155,27127,1,Bungalow,,645,525,1,1980,,2004,3,79500
156,27137,2,Detached,,2352,2314,2,1976,,1997,8,456000
157,27115,3,Detached,321,3565,5172,3,1962,1977,1999,7,985000
158,27121,3,Detached,273,2713,3146,3,1962,1983,2000,8,660500
159,27115,1,Bungalow,295,1583,920,1,1975,,1995,10,254500
160,27134,3,Cottage,225,2517,3931,3,1987,,1999,7,759000
161,27119,2,Cottage,,1569,1885,2,1979,,2003,10,385500
162,27134,2,Ranch,,1720,2378,3,1971,,1999,4,343500
163,27137,2,Cottage,,1031,1139,2,1969,1981,2004,7,230000
164,27133,1,Bungalow,,1579,761,1,1971,,1995,12,190000
165,27134,1,Bungalow,,1458,883,1,1964,1976,1997,2,166000
166,27119,2,Cottage,,890,1265,2,1965,1986,1995,1,226000
167,27121,2,Farm,333,2177,2758,2,1960,1985,2001,4,558500
168,27119,1,Bungalow,283,2428,1199,1,1975,,1995,6,316500
169,27115,2,Detached,385,2394,2633,2,1977,,1997,2,622000
170,27119,2,Cottage,,962,1254,2,1966,1980,1998,7,205500
171,27133,1,Bungalow,,1685,1128,1,1978,,2001,6,178000
172,27133,2,Ranch,,825,1079,2,1976,,1996,3,215000
173,27121,2,Farm,252,2684,2589,1,1973,,2002,8,567500
174,27134,2,Town,,1346,2129,2,1962,1975,2002,10,247000
175,27119,2,Detached,,1206,1497,2,1972,,2001,9,286000
176,27134,2,Town,,1679,2201,2,1977,,1998,6,341000
177,27127,1,Bungalow,,1066,819,1,1982,,2001,6,119000
178,27127,2,Farm,,806,1084,2,1982,,1997,10,143000
179,27133,1,Bungalow,,1251,687,1,1966,,1998,6,164000
180,27131,1,Bungalow,,1072,594,1,1968,,2004,4,135000
181,27119,3,Detached,,934,2159,3,1965,,1999,9,312500
182,27119,3,Detached,,1385,2910,3,1983,,2004,8,551000
183,27137,3,Town,342,3173,4384,3,1962,1983,2001,8,749000
184,27119,1,Bungalow,,1004,700,1,1979,,1995,2,160000
185,27133,2,Detached,,1240,2119,2,1982,,2002,2,287500
186,27134,2,Cottage,205,1631,2331,2,1969,,1997,2,319500
187,27127,1,Bungalow,,1229,1012,1,1976,,2001,2,136000
188,27127,2,Detached,,902,1392,2,1980,,1997,6,158500
189,27127,1,Bungalow,,791,641,1,1969,,1998,7,77000
190,27133,2,Detached,,1154,1545,1,1976,,2004,7,192000
191,27127,2,Farm,,1233,1749,2,1978,,2003,4,207500
192,27115,2,Detached,289,2650,3068,3,1969,,2004,9,656000
193,27119,3,Detached,234,2715,3876,3,1989,,2001,6,939000
194,27134,2,Detached,,913,1315,2,1983,,2003,5,191000
195,27121,2,Cottage,,977,1118,2,1989,,2004,6,298000
196,27134,1,Bungalow,,2082,1244,1,1964,1978,1998,3,237000
197,27119,1,Bungalow,,1292,686,1,1965,,1998,9,133500
198,27115,3,Detached,264,4305,4795,3,1964,,2004,6,1094500
199,27134,2,Farm,,1357,2096,2,1962,,2002,2,217500
200,27134,2,Cottage,,1128,1803,3,1965,1989,1995,9,288500
201,27127,2,Farm,,1193,1856,1,1986,,2002,4,244500
202,27133,2,Farm,,903,1352,2,1970,,2001,3,151000
203,27119,3,Detached,,995,1730,3,1989,,1995,3,357500
204,27119,2,Detached,190,2264,2998,2,1977,,2000,6,533000
205,27137,2,Detached,,976,1122,2,1962,,2004,11,179500
206,27134,3,Detached,,689,1638,3,1961,,1996,11,200500
207,27119,2,Detached,,2145,2449,2,1981,,2000,11,485500
208,27134,2,Cottage,,1393,1884,2,1981,,1997,11,353500
209,27127,2,Detached,,1226,1761,2,1976,,2003,11,208000
210,27121,1,Bungalow,360,2628,1409,1,1967,,2002,5,333000
211,27131,1,Bungalow,,1765,973,1,1968,,1997,10,213500
212,27134,2,Detached,,1598,1964,2,1962,1982,1998,12,306000
213,27121,1,Bungalow,262,1762,1006,1,1976,,2004,7,273500
214,27127,2,Detached,,774,1197,2,1978,,2001,7,143500
215,27134,2,Farm,,929,1316,2,1977,,2001,1,162000
216,27127,2,Cottage,,860,1367,1,1963,1977,2002,12,142500
217,27115,3,Detached,280,4286,5080,3,1968,1983,2001,11,1264500
218,27133,1,Bungalow,214,2470,1076,1,1962,,1995,5,260000
219,27133,1,Bungalow,,913,779,1,1960,,2004,10,95500
220,27134,2,Farm,,1240,1838,2,1980,,1997,5,312000
221,27119,1,Bungalow,232,2543,1295,1,1980,,2003,8,371000
222,27119,2,Detached,,1414,1646,2,1979,,1995,12,328500
223,27131,1,Bungalow,202,1733,858,1,1963,1977,1995,10,186500
224,27121,2,Cottage,209,2329,2656,2,1975,,1995,7,541000
225,27119,2,Town,200,1339,1721,2,1981,,2003,7,350500
226,27137,2,Detached,196,2055,2843,2,1976,,1998,9,548000
227,27134,1,Bungalow,,1813,979,1,1970,,1997,10,187000
228,27127,1,Bungalow,,1026,779,1,1960,1973,1999,5,89000
229,27133,3,Town,207,2216,4296,3,1988,,1996,11,894000
230,27137,3,Detached,,1165,2610,3,1974,,1998,2,434000
231,27115,3,Detached,324,2903,4511,3,1961,,2004,4,794500
232,27119,1,Bungalow,,1623,1239,1,1963,,1999,4,218000
233,27127,2,Detached,,1183,1855,2,1972,,1999,1,202000
234,27133,2,Detached,344,2888,2715,2,1975,,1995,7,579000
235,27121,3,Cottage,269,2196,2833,3,1965,1983,1995,1,551500
236,27119,2,Detached,,951,1294,2,1979,,1999,1,234500
237,27119,2,Town,,1215,1318,2,1980,,2000,6,262500
238,27131,2,Detached,208,1629,1784,1,1987,,1998,6,424500
239,27133,3,Detached,198,1755,2494,3,1975,,1995,11,459500
240,27119,2,Town,320,3221,2901,2,1984,,1996,3,694000
241,27131,2,Detached,224,2399,2460,3,1984,,2002,6,568000
242,27127,2,Farm,,1366,2111,1,1987,,1995,4,289000
243,27131,3,Town,,1965,3032,3,1971,,1995,5,513000
244,27119,3,Detached,,2106,3771,3,1960,1977,2000,7,617000
245,27119,1,Bungalow,,1500,758,1,1978,,2000,12,194500
246,27137,1,Bungalow,275,2050,1156,1,1976,,2000,11,295500
247,27137,2,Town,286,2015,2412,1,1969,1982,1997,2,461500
248,27115,2,Cottage,306,3505,2797,2,1989,,2004,5,974500
249,27133,2,Cottage,252,2339,2251,1,1975,1987,1999,2,545500
250,27137,3,Detached,,982,2358,3,1975,,2002,2,376000
251,27134,2,Ranch,,1051,1764,2,1970,,2000,7,198500
252,27131,2,Farm,326,2793,2796,2,1982,,2003,7,638500
253,27119,1,Bungalow,,1334,713,1,1971,1987,2001,12,182500
254,27119,2,Town,302,2906,2606,2,1977,,2004,9,584500
255,27115,3,Cottage,,977,2079,3,1983,,1996,8,456000
256,27115,3,Detached,,1613,2970,3,1982,,1998,5,765500
257,27119,2,Town,,1219,1289,3,1971,,1999,2,242500
258,27115,3,Detached,278,3453,4226,3,1966,,1995,7,870000
259,27134,2,Detached,,1118,1768,2,1969,,2000,12,190500
260,27121,2,Cottage,273,2622,2783,3,1962,1980,1999,10,568000
261,27119,3,Cottage,,853,1697,3,1982,,2003,4,313500
262,27121,3,Detached,412,3687,4377,3,1964,,1997,9,776500
263,27131,2,Detached,217,2260,2897,2,1981,,1995,6,603500
264,27127,2,Farm,,1536,2250,2,1963,,1999,1,202000
265,27127,2,Cottage,,1217,1823,2,1966,,2002,7,178000
266,27131,3,Cottage,,710,1504,3,1968,,1996,2,205500
267,27137,3,Cottage,,1547,2441,3,1976,,2003,4,450500
268,27133,2,Town,260,2950,2686,3,1963,1989,1997,8,581000
269,27133,2,Detached,251,2620,3001,2,1971,,1997,11,569000
270,27133,2,Detached,216,3166,2982,2,1964,1977,1996,5,604500
271,27131,2,Detached,215,2692,2632,2,1980,,1997,1,582000
272,27131,3,Detached,213,2633,4495,3,1983,,1996,1,875500
273,27134,1,Bungalow,,1207,917,1,1985,,2002,8,166500
274,27121,1,Bungalow,,1891,872,1,1983,,2003,7,303500
275,27119,2,Farm,197,2958,2711,2,1960,1979,1997,11,511000
276,27133,2,Cottage,,803,1190,2,1988,,2001,1,174500
277,27133,2,Detached,,1051,1599,1,1961,1982,1997,8,260000
278,27131,2,Detached,191,1560,2185,2,1961,,1998,6,329500
279,27133,2,Detached,267,2079,2737,3,1984,,1997,2,575000
280,27137,1,Bungalow,,903,700,1,1964,,1995,5,118500
281,27133,2,Town,,1302,2124,2,1980,,2002,5,289500
282,27137,1,Bungalow,,1345,1008,1,1979,,1996,12,232000
283,27133,2,Farm,,950,1259,2,1968,,2004,1,142000
284,27137,2,Town,,1847,2481,3,1979,,1999,10,474000
285,27119,1,Bungalow,329,3117,1408,1,1974,,2002,10,401500
286,27134,2,Farm,,1023,1327,2,1970,,2003,9,161500
287,27115,3,Detached,,2807,3357,3,1976,,1996,9,790000
288,27133,2,Town,,1197,1386,2,1973,,1996,10,274000
289,27134,2,Town,,1664,2537,3,1964,,1998,10,350500
290,27127,2,Cottage,,1294,1906,2,1974,,2000,4,220000
291,27134,2,Detached,,960,1475,2,1963,1981,1996,1,218000
292,27134,2,Town,,1716,2259,2,1981,,1999,8,311500
293,27133,1,Bungalow,,1697,1092,1,1983,,2004,10,196500
294,27133,3,Detached,250,1773,2915,3,1970,1986,1997,2,538000
295,27127,2,Farm,,1443,2098,2,1987,,2004,12,306500
296,27131,1,Bungalow,227,1697,982,1,1987,,2002,9,299000
297,27121,1,Bungalow,,902,627,1,1972,1987,1997,7,166500
298,27121,2,Cottage,,1410,1791,2,1988,,1997,12,451500
299,27133,3,Detached,,1301,2535,3,1966,,1997,12,361000
300,27115,2,Farm,222,2382,1906,2,1976,,1998,6,546000
301,27134,2,Town,,1600,2260,1,1972,1986,2000,4,299000
302,27137,3,Detached,,1030,2350,3,1976,,2003,2,381000
303,27134,2,Detached,,1379,2070,2,1969,,2003,8,232500
304,27127,1,Bungalow,,1222,847,1,1969,1987,2003,6,126500
305,27131,2,Detached,,1172,1627,2,1960,,2003,10,243000
306,27119,2,Farm,212,1634,2264,3,1972,,2001,8,402000
307,27119,2,Detached,242,2149,2592,2,1969,,1999,12,419500
308,27127,2,Cottage,,1376,1978,2,1983,,2004,5,265000
309,27133,2,Detached,350,2780,2723,1,1979,,1996,1,559500
310,27133,1,Bungalow,321,2533,1259,1,1965,,1996,9,268000
311,27121,3,Detached,335,3149,3625,3,1985,,1999,1,856500
312,27121,2,Detached,205,1557,1452,3,1985,,2002,2,393000
313,27134,2,Town,,824,1278,2,1969,,2003,10,139000
314,27119,2,Detached,204,1353,1769,2,1983,,1995,3,373500
315,27137,2,Detached,210,1404,1882,3,1961,1983,1997,8,340000
316,27134,2,Cottage,,1199,1725,2,1962,1986,1997,11,281500
317,27134,2,Detached,213,1783,2521,2,1987,,1998,3,511000
318,27134,2,Ranch,,1021,1532,2,1985,,2001,11,217000
319,27121,1,Bungalow,205,1603,824,1,1978,,1995,8,235000
320,27121,3,Detached,399,2776,4436,3,1961,,2000,1,679000
321,27137,2,Town,208,1852,1959,3,1967,,1998,11,330000
322,27131,1,Bungalow,277,2822,1384,1,1981,,1998,2,378000
323,27131,3,Detached,235,2735,4137,3,1984,,2002,12,923000
324,27137,2,Detached,,1934,2003,2,1967,,1995,9,341500
325,27119,2,Farm,,954,1045,3,1964,1981,2004,1,209500
326,27131,1,Bungalow,,1624,1275,1,1987,,2001,12,356500
327,27134,2,Cottage,253,2316,2527,3,1986,,1999,4,502500
328,27119,2,Farm,265,2326,2408,2,1962,1989,2002,11,509500
329,27137,2,Town,,1479,2091,2,1961,1977,1998,11,345000
330,27133,1,Bungalow,,644,544,1,1964,1989,2001,4,76000
331,27119,1,Bungalow,,1482,968,1,1968,,2003,9,217000
332,27133,1,Bungalow,,1083,759,1,1978,,1995,3,187500
333,27133,2,Town,,861,1114,2,1983,,2001,8,164000
334,27121,2,Ranch,341,1970,2350,2,1966,,1995,3,440500
335,27119,1,Bungalow,,2079,1401,1,1973,,1998,5,310000
336,27134,2,Town,,1372,2338,1,1964,,2000,8,235000
337,27137,2,Town,195,2210,2787,3,1975,1988,1999,10,603000
338,27134,2,Town,,859,1328,2,1970,,2000,5,148000
339,27127,2,Farm,,1056,1576,2,1975,1988,1997,9,197500
340,27121,3,Cottage,,1143,1747,3,1973,,1996,7,312500
341,27119,3,Cottage,195,2200,3741,3,1989,,2000,3,863000
342,27134,2,Farm,,888,1370,2,1980,,2003,10,184500
343,27134,2,Cottage,,1009,1396,2,1976,,2001,4,178500
344,27134,2,Detached,,969,1379,3,1980,,1997,7,238000
345,27121,3,Detached,203,2595,3211,3,1965,,1999,12,554000
346,27137,2,Farm,,1566,2023,2,1973,,1995,7,341000
347,27133,3,Town,,1639,2503,3,1979,,1998,2,452000
348,27133,2,Ranch,,1432,2197,2,1983,,2004,9,304000
349,27134,2,Town,,1089,1455,2,1975,,2003,9,195500
350,27119,2,Cottage,192,2440,2590,2,1970,1988,1999,8,491500
351,27115,3,Detached,365,3802,5245,3,1960,1973,2003,10,1067000
352,27119,2,Detached,,1173,1707,2,1977,,1995,12,317000
353,27131,1,Bungalow,,1476,1119,1,1960,1987,1996,7,212500
354,27119,1,Bungalow,,1686,869,1,1985,,2001,11,242000
355,27134,2,Detached,,825,1313,2,1984,,2004,11,180000
356,27137,3,Cottage,229,2483,3339,3,1965,,1996,2,523500
357,27134,1,Bungalow,,826,681,1,1979,,2000,9,101500
358,27119,3,Detached,,2533,4061,3,1976,,1995,2,734500
359,27134,2,Detached,246,2636,2646,2,1963,1982,1999,3,465000
360,27134,1,Bungalow,,1546,1066,1,1964,,2003,9,137500
361,27133,2,Cottage,,1129,1505,1,1976,,2002,5,195500
362,27119,1,Bungalow,311,3167,1481,1,1973,,1995,11,389500
363,27121,1,Bungalow,,1235,720,1,1979,,2002,11,218000
364,27137,2,Cottage,,818,1072,2,1976,,2002,3,188500
365,27133,2,Town,,1333,2178,2,1976,,2004,5,277500
366,27137,1,Bungalow,,1173,840,1,1965,,2003,2,172500
367,27115,3,Detached,351,2682,4987,3,1972,,2004,11,1085000
368,27119,2,Detached,266,2884,2644,2,1982,,2001,4,567500
369,27133,2,Cottage,291,2405,2706,2,1985,,1997,5,666500
370,27137,2,Town,238,2024,2245,3,1983,,2004,4,470000
371,27127,1,Bungalow,,1216,991,1,1964,1981,2000,3,120500
372,27137,2,Detached,215,1997,2196,2,1961,1981,1998,4,374500
373,27134,2,Detached,,1412,2241,1,1961,1976,2001,1,236500
374,27121,2,Cottage,311,3767,2976,2,1974,,1999,7,676000
375,27119,2,Cottage,,1033,1082,2,1972,,1995,8,183000
376,27133,3,Town,209,2804,3695,3,1979,,1999,3,697500
377,27121,2,Town,232,1351,1697,3,1977,,1998,12,363000
378,27127,2,Farm,,1344,1981,2,1967,1986,1997,7,221000
379,27131,3,Cottage,229,2389,3196,3,1971,1987,1998,8,657000
380,27121,2,Detached,261,1512,1865,2,1987,,2004,3,543000
381,27133,3,Ranch,223,2239,3813,3,1986,,1999,7,855000
382,27115,2,Town,411,2283,2777,3,1973,,2003,4,599500
383,27131,3,Cottage,203,2216,3917,3,1975,,1999,7,709000
384,27137,2,Detached,,1027,1501,2,1961,,1995,5,219000
385,27137,2,Detached,,1310,1380,1,1988,,2001,4,311000
386,27137,2,Detached,,1415,1632,1,1982,,1999,9,345500
387,27137,2,Detached,281,3106,2778,2,1960,,1995,4,421500
388,27134,1,Bungalow,,1042,602,1,1981,,1997,5,145000
389,27119,2,Detached,204,2585,2938,2,1980,,2003,4,632000
390,27131,2,Cottage,,1383,1857,2,1966,,2003,7,307500
391,27133,2,Cottage,,772,1084,2,1985,,1999,11,150500
392,27134,2,Town,,1165,1290,2,1983,,1999,6,264000
393,27133,2,Cottage,,1450,1948,2,1967,,2004,12,237500
394,27119,3,Detached,,1896,2806,3,1964,,2002,8,441000
395,27133,1,Bungalow,,921,643,1,1978,,2000,3,103500
396,27119,2,Cottage,229,2910,2838,2,1988,,2004,10,764000
397,27131,1,Bungalow,220,2622,1356,1,1976,,2002,12,359500
398,27133,2,Cottage,,879,1278,2,1968,,2000,2,132000
399,27134,2,Farm,,870,1286,2,1971,,2000,7,147000
400,27121,3,Detached,,1025,1634,3,1961,1974,2003,6,329500
401,27131,2,Cottage,,1685,2447,2,1985,,2004,4,496000
402,27121,2,Farm,,1911,1643,3,1971,,1996,11,358500
403,27115,1,Bungalow,276,2175,876,1,1964,,1998,8,261500
404,27121,1,Bungalow,,982,665,1,1986,,2002,11,220000
405,27134,2,Cottage,,1358,1927,2,1970,,2000,4,214500
406,27119,2,Detached,,1609,1775,2,1976,,1995,6,350500
407,27134,2,Ranch,,1176,1725,2,1985,,2001,9,244000
408,27119,1,Bungalow,,1361,810,1,1968,,2004,9,176000
409,27121,2,Ranch,197,1649,1552,2,1971,1985,1999,11,384000
410,27127,2,Farm,,1286,1750,2,1984,,1998,7,228500
411,27127,2,Detached,,703,1042,2,1987,,1997,7,149000
412,27121,3,Town,,1033,1633,3,1981,,2004,5,374500
413,27133,2,Farm,285,3006,2608,2,1980,,1996,6,628000
414,27127,2,Farm,,774,1090,2,1975,,2003,11,128500
415,27115,3,Town,277,1807,3136,3,1977,,1998,6,727000
416,27137,3,Town,,873,1983,3,1982,,2003,6,359500
417,27121,2,Town,341,3402,2653,1,1967,1988,2001,4,734000
418,27131,2,Detached,199,1554,2056,1,1965,,2004,5,359000
419,27133,3,Detached,278,2737,3592,3,1971,1986,1996,8,677500
420,27121,2,Detached,,1153,1019,3,1976,,2000,6,243000
